Instancia,Experimento,Seed,Fitness,Tiempo (s),Generaciones,Solucion_Valida
AJUSTADA,A1_Cross_Horizontal,1,"1,4735","93,68",150,TRUE
AJUSTADA,A1_Cross_Horizontal,2,"1,4980","95,33",150,TRUE
AJUSTADA,A1_Cross_Horizontal,3,"1,5250","93,08",150,TRUE
AJUSTADA,A1_Cross_Horizontal,4,"1,4143","96,84",150,TRUE
AJUSTADA,A1_Cross_Horizontal,5,"1,4638","91,13",150,TRUE
AJUSTADA,A1_Cross_Horizontal,6,"1,6051","89,35",150,TRUE
AJUSTADA,A1_Cross_Horizontal,7,"1,6862","123,93",150,TRUE
AJUSTADA,A1_Cross_Horizontal,8,"1,3638","90,74",150,TRUE
AJUSTADA,A1_Cross_Horizontal,9,"1,5781","90,74",150,TRUE
AJUSTADA,A1_Cross_Horizontal,10,"1,5087","90,74",150,TRUE
AJUSTADA,A1_Cross_Horizontal,11,"1,4372","90,74",150,TRUE
AJUSTADA,A1_Cross_Horizontal,12,"1,5439","90,74",150,TRUE
AJUSTADA,A1_Cross_Horizontal,13,"1,5821","88,23",150,TRUE
AJUSTADA,A1_Cross_Horizontal,14,"1,4735","86,30",150,TRUE
AJUSTADA,A1_Cross_Horizontal,15,"1,4735","85,88",150,TRUE
AJUSTADA,A1_Cross_Horizontal,16,"1,5806","88,24",150,TRUE
AJUSTADA,A1_Cross_Horizontal,17,"1,5408","92,34",150,TRUE
AJUSTADA,A1_Cross_Horizontal,18,"1,4964","89,30",150,TRUE
AJUSTADA,A1_Cross_Horizontal,19,"1,6005","85,58",150,TRUE
AJUSTADA,A1_Cross_Horizontal,20,"1,4658","87,40",150,TRUE
AJUSTADA,A1_Cross_Horizontal,21,"1,4735","85,30",150,TRUE
AJUSTADA,A1_Cross_Horizontal,22,"1,5821","87,09",150,TRUE
AJUSTADA,A1_Cross_Horizontal,23,"1,6082","86,84",150,TRUE
AJUSTADA,A1_Cross_Horizontal,24,"1,6872","89,94",150,TRUE
AJUSTADA,A1_Cross_Horizontal,25,"1,4143","86,26",150,TRUE
AJUSTADA,A1_Cross_Horizontal,26,"1,5133","88,59",150,TRUE
AJUSTADA,A1_Cross_Horizontal,27,"1,4888","88,76",150,TRUE
AJUSTADA,A1_Cross_Horizontal,28,"1,5480","86,05",150,TRUE
AJUSTADA,A1_Cross_Horizontal,29,"1,6480","93,51",150,TRUE
AJUSTADA,A1_Cross_Horizontal,30,"1,4801","89,56",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,1,"1,7026","83,89",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,2,"1,3046","84,17",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,3,"1,4337","84,60",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,4,"1,6434","84,52",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,5,"2,0005","86,67",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,6,"1,5250","86,65",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,7,"1,3046","89,96",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,8,"1,4888","104,39",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,9,"2,1184","90,28",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,10,"1,9531","88,81",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,11,"1,3704","88,91",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,12,"1,4735","90,80",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,13,"1,5413","89,81",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,14,"1,5327","88,52",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,15,"1,5026","90,84",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,16,"1,4230","87,55",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,17,"1,7638","89,59",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,18,"1,4658","89,47",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,19,"1,7638","90,91",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,20,"1,4964","97,70",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,21,"1,5189","100,25",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,22,"1,5923","86,81",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,23,"1,5684","85,82",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,24,"2,0082","87,18",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,25,"1,5286","88,81",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,26,"1,4434","86,97",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,27,"1,4066","88,20",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,28,"1,9842","87,50",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,29,"1,9051","87,64",150,TRUE
AJUSTADA,A1_Cross_TwoPoint,30,"1,4888","87,83",150,TRUE
AJUSTADA,A2_Mut_Flip,1,"1,6852","100,16",150,TRUE
AJUSTADA,A2_Mut_Flip,2,"1,8724","98,55",150,TRUE
AJUSTADA,A2_Mut_Flip,3,"1,5709","99,48",150,TRUE
AJUSTADA,A2_Mut_Flip,4,"1,7255","93,72",150,TRUE
AJUSTADA,A2_Mut_Flip,5,"1,5250","89,86",150,TRUE
AJUSTADA,A2_Mut_Flip,6,"1,6235","85,46",150,TRUE
AJUSTADA,A2_Mut_Flip,7,"2,1189","86,31",150,TRUE
AJUSTADA,A2_Mut_Flip,8,"1,5714","84,72",150,TRUE
AJUSTADA,A2_Mut_Flip,9,"1,5842","85,95",150,TRUE
AJUSTADA,A2_Mut_Flip,10,"2,2209","84,43",150,TRUE
AJUSTADA,A2_Mut_Flip,11,"1,6071","84,21",150,TRUE
AJUSTADA,A2_Mut_Flip,12,"1,7026","84,26",150,TRUE
AJUSTADA,A2_Mut_Flip,13,"1,7847","84,75",150,TRUE
AJUSTADA,A2_Mut_Flip,14,"1,5250","85,00",150,TRUE
AJUSTADA,A2_Mut_Flip,15,"1,9480","87,29",150,TRUE
AJUSTADA,A2_Mut_Flip,16,"1,6862","82,29",150,TRUE
AJUSTADA,A2_Mut_Flip,17,"1,9480","84,95",150,TRUE
AJUSTADA,A2_Mut_Flip,18,"2,1531","84,67",150,TRUE
AJUSTADA,A2_Mut_Flip,19,"1,5480","83,95",150,TRUE
AJUSTADA,A2_Mut_Flip,20,"2,4347","83,94",150,TRUE
AJUSTADA,A2_Mut_Flip,21,"2,2276","88,67",150,TRUE
AJUSTADA,A2_Mut_Flip,22,"1,6270","85,09",150,TRUE
AJUSTADA,A2_Mut_Flip,23,"1,5250","89,86",150,TRUE
AJUSTADA,A2_Mut_Flip,24,"1,8821","93,39",150,TRUE
AJUSTADA,A2_Mut_Flip,25,"1,7612","83,72",150,TRUE
