Experimento,Seed,Poblacion,Fitness,Tiempo,Gen_Hallazgo,Cob,Pref,Eq
P50,2,50,1.553061224489796,110.25897717475891,150,,,0.5837
P50,3,50,1.4066326530612243,146.533362865448,150,,,0.6061
P50,4,50,1.4066326530612243,128.98365807533264,150,,,0.5908
P50,5,50,1.8979591836734695,148.37913250923157,150,,,0.5837
P50,6,50,1.496428571428571,88.91311430931091,150,,,0.6306
P50,7,50,2.2163265306122453,50.03295564651489,150,,,0.6122
P50,8,50,1.482142857142857,51.19056463241577,150,,,0.5622
P50,9,50,1.4979591836734696,154.56993436813354,150,,,0.5837
P50,10,50,1.4734693877551017,152.4391384124756,150,,,0.6122
P50,11,50,1.547959183673469,131.84948444366455,150,,,0.602
P50,12,50,1.5188775510204078,124.1952109336853,150,,,0.6041
P50,13,50,1.4229591836734692,142.91480374336243,150,,,0.5622
P50,14,50,1.5515306122448977,57.18255972862244,150,,,0.648
P50,15,50,1.6387755102040817,58.52340912818909,150,,,0.6408
P50,16,50,1.6005102040816326,59.09336996078491,150,,,0.5622
P50,17,50,1.4887755102040818,348.7682077884674,150,,,0.5776
P50,18,50,1.5102040816326525,124.65290665626526,150,,,0.6204
P50,19,50,1.7489795918367352,59.23419404029846,150,,,0.5673
P50,20,50,1.5989795918367349,59.21056938171387,150,,,0.5776
P50,21,50,1.541326530612245,53.203458309173584,150,,,0.5776
P50,22,50,1.6234693877551019,57.96875882148743,150,,,0.5959
P50,23,50,1.6265306122448981,57.8369562625885,150,,,0.5959
P50,24,50,1.4494897959183672,54.405097246170044,150,,,0.6347
P50,25,50,1.6632653061224492,57.47474789619446,150,,,0.5837
P50,26,50,1.576020408163267,59.70376491546631,150,,,0.5776
P50,27,50,1.5454081632653058,58.52932786941528,150,,,0.6439
P50,28,50,1.6234693877551019,59.74300956726074,150,,,0.5959
P50,29,50,1.6209183673469383,59.45289921760559,150,,,0.6041
P50,30,50,1.5841836734693877,55.50489044189453,150,,,0.6061
P100,1,100,1.4734693877551017,124.98760294914246,150,,,0.6122
P100,2,100,1.4979591836734696,122.05544805526733,150,,,0.5837
P100,3,100,1.525,115.76933360099792,150,,,0.6061
P100,4,100,1.414285714285714,89.07147884368896,150,,,0.5837
P100,5,100,1.463775510204081,88.41599917411804,150,,,0.6592
P100,6,100,1.605102040816326,97.89327073097229,150,,,0.6837
P100,7,100,1.6862244897959182,96.59370350837708,150,,,0.6194
P100,8,100,1.3637755102040814,90.9443051815033,150,,,0.5622
P100,9,100,1.5780612244897956,90.84896206855774,150,,,0.5755
P100,10,100,1.5086734693877548,126.07220029830933,150,,,0.6194
P100,11,100,1.4372448979591832,88.89113664627075,150,,,0.6112
P100,12,100,1.5438775510204081,87.65289187431335,150,,,0.5776
P100,13,100,1.5821428571428566,88.3382921218872,150,,,0.6878
P100,14,100,1.4734693877551017,87.63499593734741,150,,,0.5959
P100,15,100,1.4734693877551017,87.89943361282349,150,,,0.6122
P100,16,100,1.5806122448979592,89.31193900108337,150,,,0.602
P100,17,100,1.5408163265306125,88.64162802696228,150,,,0.6122
P100,18,100,1.496428571428571,88.84056520462036,150,,,0.602
P100,19,100,1.6005102040816328,89.95197749137878,150,,,0.5622
P100,20,100,1.4658163265306121,88.4293441772461,150,,,0.6061
P100,21,100,1.4734693877551017,87.12055826187134,150,,,0.6122
P100,22,100,1.5821428571428566,88.95744824409485,150,,,0.6684
P100,23,100,1.608163265306123,88.28176164627075,150,,,0.5837
P100,24,100,1.6872448979591828,89.17347264289856,150,,,0.699
P100,25,100,1.414285714285714,87.19432616233826,150,,,0.6122
P100,26,100,1.5132653061224497,88.92167377471924,150,,,0.6306
P100,27,100,1.4887755102040812,89.02386355400085,150,,,0.6061
P100,28,100,1.547959183673469,87.36580157279968,150,,,0.6245
P100,29,100,1.6479591836734688,89.30020332336426,150,,,0.7122
P100,30,100,1.4801020408163261,87.22146081924438,150,,,0.6306
P200,1,200,1.8530612244897966,184.37914299964905,150,,,0.7469
P200,2,200,1.9357142857142862,185.9379918575287,150,,,0.7286
P200,3,200,1.9387755102040822,185.09911060333252,150,,,0.8041
P200,4,200,1.920408163265307,184.4847927093506,150,,,0.7918
P200,5,200,1.822448979591837,189.49625420570374,150,,,0.7633
P200,6,200,1.9357142857142862,184.84509801864624,150,,,0.7286
P200,7,200,1.8867346938775515,186.34373879432678,150,,,0.8061
P200,8,200,1.8744897959183677,185.9117820262909,150,,,0.798
P200,9,200,1.8622448979591844,186.76712465286255,150,,,0.7531
P200,10,200,1.8989795918367356,183.92655658721924,150,,,0.8143
P200,11,200,1.7765306122448985,186.32578873634338,150,,,0.7327
P200,12,200,1.9326530612244908,185.7165687084198,150,,,0.8
P200,13,200,1.9602040816326534,184.43289422988892,150,,,0.7449
P200,14,200,1.8255102040816331,185.5060076713562,150,,,0.7286
P200,15,200,1.8530612244897966,184.4264314174652,150,,,0.7469
P200,16,200,1.8775510204081638,184.84190487861633,150,,,0.7633
P200,17,200,1.9234693877551026,183.98732328414917,150,,,0.7571
P200,18,200,1.9265306122448986,183.5787491798401,150,,,0.7592
P200,19,200,1.984693877551021,184.96579360961914,150,,,0.798
P200,20,200,1.920408163265307,184.4417188167572,150,,,0.7918
P200,21,200,1.9540816326530621,186.25717568397522,150,,,0.7776
P200,22,200,1.871428571428572,183.11108207702637,150,,,0.7592
P200,23,200,1.9265306122448986,183.64506554603577,150,,,0.7224
