Instancia,Experimento,Seed,Fitness,Tiempo(s),Generaciones,Seleccion,Cruce,Mutacion
BASE,A1_Cross_Horizontal,1,1.7993827160493825,115.41785216331482,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,2,1.8456790123456797,115.67790341377258,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,3,1.7654320987654313,113.82567763328552,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,4,1.6450617283950617,119.90089392662048,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,5,1.7685185185185182,126.45764780044556,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,6,1.7901234567901234,116.11498951911926,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,7,1.731481481481481,116.32592391967773,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,8,1.716049382716049,112.9308648109436,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,9,1.7901234567901234,129.58217883110046,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,10,1.70679012345679,126.67263197898865,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,11,1.7901234567901234,126.5283477306366,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,12,1.8117283950617282,124.66511464118958,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,13,1.70679012345679,125.29253268241882,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,14,1.7530864197530862,127.44240713119507,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,15,1.7253086419753085,124.9130802154541,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,16,1.6018518518518516,125.38999462127686,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,17,1.8117283950617284,127.92211270332336,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
BASE,A1_Cross_Horizontal,18,1.833333333333334,124.9057297706604,150,torneo_deterministico,bloques_horizontales,hibrida_adaptativa
